nruDataRate_Mbps,runId,nru_throughput_Mbps,nru_delay_ms,wifi_throughput_Mbps,wifi_delay_ms,nru_nodes,wifi_nodes
40,0,3.48703,3.44133,7.13101,1.68279,107,94
40,1,2.8529,4.20625,8.0906,1.4832,104,103
40,2,2.9764,4.03172,7.52791,1.59407,94,107
40,3,3.89854,3.07808,6.48168,1.85137,93,99
40,4,3.069,3.91007,7.46075,1.60842,97,93
40,5,2.69337,4.45539,7.06776,1.69785,106,101
40,6,2.95208,4.06494,7.24908,1.65538,109,101
40,7,3.12696,3.83759,7.07134,1.69699,108,108
40,8,4.14737,2.8934,7.22135,1.66174,96,92
40,9,3.51494,3.414,7.11227,1.68722,98,101
50,0,3.75717,3.19389,7.54489,1.59048,107,94
50,1,3.29993,3.63644,8.1891,1.46536,104,103
50,2,3.47294,3.45529,7.63775,1.57114,94,107
50,3,4.28785,2.79861,6.81905,1.75978,93,99
50,4,3.27764,3.66117,8.18873,1.46543,97,93
50,5,3.13354,3.82954,7.15041,1.67822,106,101
50,6,3.41612,3.51275,7.36428,1.62949,109,101
50,7,3.79828,3.15933,7.00408,1.71329,108,108
50,8,4.74031,2.53148,7.23849,1.6578,96,92
50,9,3.77943,3.17509,7.2694,1.65076,98,101
60,0,3.90484,3.07311,7.42924,1.61524,107,94
60,1,3.52792,3.40144,8.24579,1.45529,104,103
60,2,3.67829,3.26239,7.70959,1.5565,94,107
60,3,5.01085,2.3948,6.50338,1.8452,93,99
60,4,3.72116,3.2248,7.92558,1.51408,97,93
60,5,3.30018,3.63616,7.2524,1.65463,106,101
60,6,3.73,3.21716,7.58716,1.58162,109,101
60,7,3.73045,3.21677,7.33939,1.63501,108,108
60,8,5.35148,2.24237,7.23117,1.65948,96,92
60,9,4.19813,2.85842,7.34371,1.63405,98,101
70,0,4.56713,2.62747,7.45159,1.61039,107,94
70,1,3.8659,3.10407,8.13192,1.47567,104,103
70,2,4.13918,2.89913,7.57405,1.58436,94,107
70,3,5.57685,2.15175,6.24643,1.9211,93,99
70,4,3.79252,3.16412,8.14707,1.47292,97,93
70,5,3.47017,3.45805,7.35067,1.6325,106,101
70,6,4.01078,2.99194,7.56136,1.58702,109,101
70,7,3.82683,3.13576,7.5544,1.58848,108,108
70,8,5.76865,2.08021,7.37547,1.62701,96,92
70,9,4.69986,2.55327,7.32919,1.63729,98,101
80,0,4.62324,2.59558,7.33977,1.63493,107,94
80,1,4.05887,2.95649,8.3645,1.43463,104,103
80,2,4.28026,2.80356,7.66572,1.56541,94,107
80,3,5.70473,2.10352,6.63537,1.80849,93,99
80,4,4.2843,2.80092,7.84624,1.52939,97,93
80,5,3.7459,3.20351,7.42029,1.61719,106,101
80,6,4.30841,2.78525,7.49073,1.60198,109,101
80,7,4.37063,2.7456,7.27349,1.64983,108,108
80,8,5.94857,2.01729,7.54746,1.58994,96,92
80,9,4.89691,2.45052,7.29585,1.64477,98,101
90,0,5.07912,2.36262,7.33938,1.63501,107,94
90,1,4.25027,2.82335,8.41781,1.42555,104,103
90,2,4.73893,2.53222,7.27608,1.64924,94,107
90,3,6.00769,1.99744,6.7861,1.76832,93,99
90,4,4.66783,2.57079,7.9507,1.5093,97,93
90,5,4.06441,2.95246,7.481,1.60406,106,101
90,6,4.45961,2.69082,7.59717,1.57954,109,101
90,7,4.56927,2.62624,7.46839,1.60677,108,108
90,8,6.51184,1.8428,7.45629,1.60938,96,92
90,9,5.0998,2.35303,7.42252,1.6167,98,101
100,0,5.09694,2.35435,7.47765,1.60478,107,94
100,1,4.34647,2.76086,8.40913,1.42702,104,103
100,2,4.77515,2.51301,7.72706,1.55298,94,107
100,3,5.87531,2.04244,6.91973,1.73417,93,99
100,4,4.69644,2.55513,8.01427,1.49733,97,93
100,5,3.88591,3.08808,7.49106,1.60191,106,101
100,6,4.61527,2.60006,7.60265,1.5784,109,101
100,7,4.54385,2.64093,7.56823,1.58558,108,108
100,8,6.55518,1.83061,7.28638,1.64691,96,92
100,9,5.36741,2.23571,7.35727,1.63104,98,101
110,0,5.5038,2.18031,7.22759,1.6603,107,94
110,1,4.73135,2.53627,8.37228,1.4333,104,103
110,2,5.43514,2.20785,7.23623,1.65832,94,107
110,3,6.24826,1.92053,6.55023,1.832,93,99
110,4,4.91813,2.43995,8.02852,1.49467,97,93
110,5,4.28143,2.8028,7.49371,1.60134,106,101
110,6,4.75802,2.52206,7.68553,1.56138,109,101
110,7,4.6749,2.5669,7.55707,1.58792,108,108
110,8,6.8585,1.74965,7.5937,1.58026,96,92
110,9,5.61623,2.13666,7.27277,1.64999,98,101
120,0,5.32113,2.25516,7.58433,1.58221,107,94
120,1,4.55425,2.6349,8.66223,1.38532,104,103
120,2,4.85961,2.46933,7.93211,1.51284,94,107
120,3,6.24242,1.92233,6.89224,1.74109,93,99
120,4,5.28058,2.27248,7.98228,1.50333,97,93
120,5,4.18369,2.86828,7.50411,1.59912,106,101
120,6,5.20907,2.30367,7.74169,1.55005,109,101
120,7,4.82927,2.48485,7.69302,1.55986,108,108
120,8,6.77778,1.77049,7.59333,1.58033,96,92
120,9,5.82717,2.05932,7.3772,1.62663,98,101
